id,name,location,latitude,longitude,utilization-time,price-per-day,phone-number,capacity,URL
25,方南町西自転車駐車場,東京都杉並区和泉４－５１－７,35.68308178,139.6563616,24時間,100円,03-3317-7656,460,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/marunouchi/1007413.html
26,永福町南自転車駐車場,東京都杉並区永福２－５３－5,35.67578385,139.6422899,24時間,100円,03-3323-0255,130,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/inokashira/1007415.html
27,永福町北第一自転車駐車場,東京都杉並区永福４－７－８,35.67768635,139.6428489,24時間,100円,03-3325-0092,295,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/inokashira/1007416.html
28,永福町北第二自転車駐車場,東京都杉並区和泉３－１２－１５,35.67698326,139.6449213,24時間,100円,03-3325-9898,270,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/inokashira/1007417.html
29,永福町北第三自転車駐車場,東京都杉並区和泉３－７－３,35.67585381,139.6452942,24時間,100円,03-3325-9898,315,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/inokashira/1007418.html
30,浜田山南自転車駐車場,東京都杉並区浜田山２－２２－１２,35.68043929,139.6284997,24時間,100円,03-3312-7055,295,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/inokashira/1007421.html
31,浜田山北第一自転車駐車場,東京都杉並区浜田山３－２４－１３,35.68187059,139.6288065,24時間,100円,03-3302-7225,235,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/inokashira/1007419.html
32,浜田山北第二自転車駐車場,東京都杉並区浜田山３－２７－２１,35.68351749,139.6282388,24時間,100円,03-3312-7055,504,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/inokashira/1007420.html
33,高井戸東自転車駐車場,東京都杉並区高井戸東２－３０－２５,35.68330255,139.6159953,24時間,100円,03-3247-0577,375,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/inokashira/1007423.html
34,高井戸北自転車駐車場,東京都杉並区高井戸西２－２－１,35.68381442,139.6149881,午前４時２０分～午前１時２０分,100円,03-3333-7730,472,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/inokashira/1007422.html
35,久我山西自転車駐車場,東京都杉並区久我山３－３５－２９,35.68816187,139.5985613,24時間,100円,03-3333-7208,1403,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/inokashira/1007426.html
36,久我山南自転車駐車場,東京都杉並区久我山３－２５－６,35.6876571,139.5986168,24時間,定期使用専用,03-3333-7208,364,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/inokashira/1007427.html
37,久我山北自転車駐車場,東京都杉並区久我山５－３８－１０,35.68948705,139.6005348,24時間,100円,03-3333-7208,333,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/inokashira/1007428.html
38,桜上水北自転車駐車場,東京都杉並区下高井戸１－２４－１５,35.66845492,139.6324425,24時間,100円,03-3303-1774,383,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/keio/1007429.html
39,富士見ヶ丘北自転車駐車場,東京都杉並区久我山５－１－２４,35.68499304,139.6069425,午前４時～午前１時３０分,100円,03-3332-7888,280,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/inokashira/1007424.html
40,富士見ヶ丘南自転車駐車場,東京都杉並区高井戸西１－３２先,35.6834419,139.6079785,24時間,定期使用専用,03-3332-7888,298,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/inokashira/1007425.html
